"Area","Feature","AlloFlowImplementation","Source","Evidence","MagicSchool","Brisk","Diffit","Curipod","Eduaide","SchoolAI","Khanmigo","ComparableCompetitors","StackUp","Notes"
"STEM Lab source registry: life-skills","SwimLab [swimLab]","How swimming works (stroke physics + survival skills) plus what every swimmer should know about cold water, rip currents, ice, life jackets, and rescue. Visual stroke breakdowns, the science of buoyancy and propulsion, and the survival skills (back float, eggbeater, HELP, huddle) that actually save lives. Sources cited inline (CDC, USCG, AAP, NAA, ASAN, NOAA, USA Swimming, Cold Water Boot Camp). Educational only â€” find a Water Safety Instructor for actual swim training.","stem_tool_swimlab.js","stem_tool_swimlab.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"STEM Lab source registry: science","ThrowLab [throwlab]","Sports physics: how spin, speed, and release point shape the ball\","stem_tool_throwlab.js","stem_tool_throwlab.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"STEM Lab source registry: science","Titration Lab [titrationLab]","Virtual titration lab with S-curve graphing, safety drills, incident simulator, equipment guide, and dilution calculator.","stem_tool_titration.js","stem_tool_titration.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"STEM Lab source registry: life-skills","Typing Practice [typingPractice]","Keyboarding designed for students with disabilities â€” accommodations are the product, not a menu. AI-personalized passages, IEP-ready progress, no ads or racing.","stem_tool_typingpractice.js","stem_tool_typingpractice.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"STEM Lab source registry: math","Unit Converter [unitConvert]","Convert units with visual comparison, quiz, AI word problems, badges & keyboard shortcuts","stem_tool_unitconvert.js","stem_tool_unitconvert.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"STEM Lab source registry: science","universe [universe]","","stem_tool_universe.js","stem_tool_universe.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"STEM Lab source registry: uncategorized","volume [volume]","3D cube building with volume, surface area, badges & AI tutor.","stem_tool_volume.js","stem_tool_volume.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"STEM Lab source registry: uncategorized","watercycle [waterCycle]","","stem_tool_watercycle.js","stem_tool_watercycle.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"STEM Lab source registry: science","wave [wave]","","stem_tool_wave.js","stem_tool_wave.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"STEM Lab source registry: uncategorized","WeldLab â€” Welding & Metal Joining [weldLab]","Vocational welding simulator covering MIG / TIG / Stick / Oxy-Fuel processes, heat-input physics, weld bead geometry, defect identification, AWS welding symbols, OSHA-aligned PPE, and Maine career pathways (Bath Iron Works, EMCC welding program, AWS certification ladder). Real procedural and conceptual content for skilled-trades exploration â€” not a watered-down toy.","stem_tool_weldlab.js","stem_tool_weldlab.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"STEM Lab source registry: creative","WriteCraft [worldBuilder]","Literary RPG \u2014 explore worlds, craft items, build structures, and battle through the strength of your prose.","stem_tool_worldbuilder.js","stem_tool_worldbuilder.js","Generic prompts/tools only","Generic material generation only","Generic reading/resource support only","Generic activity/lesson support only","Generic subject-material generation","Partial via teacher-designed Spaces","Strong tutoring comparable, not dedicated simulation","MagicSchool (Generic prompts/tools only); Brisk (Generic material generation only); Diffit (Generic reading/resource support only); Curipod (Generic activity/lesson support only); Eduaide (Generic subject-material generation); SchoolAI (Partial via teacher-designed Spaces); Khanmigo (Strong tutoring comparable, not dedicated simulation)","AlloFlow ahead on dedicated interactive STEM simulations; Khanmigo stronger as a polished tutor","Reviewed competitors can explain or generate materials, but do not publicly show a comparable bundled library of dedicated simulations and applied labs."
"SEL Hub source registry: self-awareness","Self-Advocacy Workshop [advocacy]","Learn to speak up for your needs with advocacy scenarios, script templates, rights education, and AI-powered voice practice.","sel_tool_advocacy.js","sel_tool_advocacy.js","Partial comparable for IEP/accommodation drafting","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","Generic/partial comparable","Partial via student supports/safety","Partial tutoring/progress comparable","MagicSchool (Partial comparable for IEP/accommodation drafting); Eduaide (Generic/partial comparable); SchoolAI (Partial via student supports/safety); Khanmigo (Partial tutoring/progress comparable)","AlloFlow ahead on special-education and school-psych depth","MagicSchool has public IEP-related tooling, but AlloFlow goes much deeper into behavior, AAC, clinical report, fluency, and direct student supports."
"SEL Hub source registry: self-regulation","Anxiety Toolkit [anxietyToolkit]","CBT-based tools for working with anxiety: psychoeducation (what it is, what it is not), the worry tree (productive vs unproductive worry), scheduled worry time, decatastrophizing, grounding skills, and a personal pattern inventory. From Beck Institute, AACAP, ADAA. Pairs with Window of Tolerance and Stress Bucket.","sel_tool_anxietytoolkit.js","sel_tool_anxietytoolkit.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: self-regulation","Behavioral Activation [behavioralActivation]","Plan small activities, do them, rate them for mastery (felt competent) and pleasure (enjoyed). Mood follows action more than action follows mood. One of the most-evidenced treatments for low mood and depression. From Lewinsohn, Jacobson, and Martell.","sel_tool_behavioralactivation.js","sel_tool_behavioralactivation.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: self-regulation","Big Feelings (Anger) [bigFeelings]","Anger-specific psychoeducation and skill-building. Anger is information, not the problem; reactive aggression is. Built on Lochman\","sel_tool_bigfeelings.js","sel_tool_bigfeelings.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: care-of-self","Body Story [bodyStory]","A body-acceptance and embodiment tool. NOT weight-focused, NOT diet-adjacent, NOT a screener. Built on Tylka body appreciation, intuitive eating principles, and media literacy. Inclusive of all bodies, all genders, all sizes. Strong NEDA referral framing.","sel_tool_bodystory.js","sel_tool_bodystory.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: care-of-self","Care Constellations [careConstellations]","A relational map of who cares for you and who you care for. Refuses the individualist or consumerist ""self-care"" frame; treats care as something received and given through relationship. Includes a substantive pedagogical view on Care of Self as a practice rather than a product.","sel_tool_careconstellations.js","sel_tool_careconstellations.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: self-direction","Career Compass [careerCompass]","Explore careers through your interests. A 36-item self-check built on Holland\","sel_tool_careercompass.js","sel_tool_careercompass.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: care-of-self","Circles of Support [circlesOfSupport]","Four concentric rings of relationship: Intimacy, Friendship, Participation, Exchange (paid). A way to see at a glance who is actually close. From Forest and Snow at Inclusion Press; widely used in person-centered planning, particularly with disabled students whose closest circle is often filled with paid staff.","sel_tool_circlesofsupport.js","sel_tool_circlesofsupport.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: stewardship","Civic Action & Hope [civicAction]","Process hard feelings about injustice, build civic agency, and cultivate hope through action.","sel_tool_civicaction.js","sel_tool_civicaction.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: social-awareness","Community & Culture [community]","Explore cultural awareness, map your identity, navigate cultural differences, and build allyship skills with an AI cultural coach.","sel_tool_community.js","sel_tool_community.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: care-of-self","Self-Compassion [compassion]","Learn to treat yourself with the kindness you\u2019d give a friend \u2014 the antidote to the inner critic.","sel_tool_compassion.js","sel_tool_compassion.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: relationship-skills","Conflict Resolution Lab [conflict]","Practice resolving conflicts with branching scenarios, I-statements, de-escalation techniques, and repair strategies.","sel_tool_conflict.js","sel_tool_conflict.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: uncategorized","Conflict Theater (Beta) [conflicttheater]","(Beta â€” limited content) Mediate a real conflict with two AI characters. Practice restorative principles in an immersive scene. Currently one scenario; more coming.","sel_tool_conflicttheater.js","sel_tool_conflicttheater.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: self-regulation","Coping Toolkit [coping]","Explore and practice coping strategies \u2014 breathing, grounding, movement, and more.","sel_tool_coping.js","sel_tool_coping.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: inner-work","Cost-Benefit Grid [costBenefit]","A 2x2 decision-making grid from Dialectical Behavior Therapy (DBT). Short-term and long-term pros and cons of a decision, side by side. Useful when emotion is pushing for one option and you want to widen the frame before deciding. Foundational DBT tool (Linehan).","sel_tool_costbenefit.js","sel_tool_costbenefit.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: relationship-skills","Crew Protocols [crewProtocols]","A library of structured group formats for Crew time, advisory, or homeroom: community builders, opening and closing rituals, restorative circles, reflection protocols, celebration formats, and hard-conversation guides. Plus a roll-up of Crew prompts from the rest of the SEL Hub. Built on EL Education Crew, Restorative Practices, Tribes, and Responsive Classroom.","sel_tool_crewprotocols.js","sel_tool_crewprotocols.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: peer-support","Crisis Companion [crisiscompanion]","Peer support and suicide-prevention skills. What to do if a friend seems depressed, in crisis, or thinking about hurting themselves. Recognizing signs, what to say (and not say), how to tell a trusted adult. NEDA + AFSP + Sources of Strength + 988 aligned. Content-warning gated.","sel_tool_crisiscompanion.js","sel_tool_crisiscompanion.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: social-awareness","Culture Explorer [cultureExplorer]","Take AI-powered deep dives into world cultures. Discover traditions, art, values, and stories with illustrations and audio.","sel_tool_cultureexplorer.js","sel_tool_cultureexplorer.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: relationship-skills","DEAR MAN [dearMan]","Build a script for a hard ask. Walk through the seven DEAR MAN steps from DBT (Linehan): Describe, Express, Assert, Reinforce, Mindful, Appear confident, Negotiate. Assertive communication, not aggressive, not avoidant. The most-used DBT skill in school counseling.","sel_tool_dearman.js","sel_tool_dearman.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: responsible-decision-making","Decision Workshop [decisions]","Practice structured decision-making, explore ethical dilemmas, map consequences, and spot cognitive biases.","sel_tool_decisions.js","sel_tool_decisions.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: self-regulation","Digital Wellbeing Studio [digitalWellbeing]","Self-check your relationship with social media and AI chatbots, build healthy habits, recover from cyberbullying, spot manipulation, and find help.","sel_tool_digitalwellbeing.js","sel_tool_digitalwellbeing.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
"SEL Hub source registry: care-of-self","Disability Voices [disabilityVoices]","Real autistic and disabled advocates whose work shaped â€” and critiqued â€” disability practice. Quotes, context, and a curated reading list. Built so the people the field has been done TO are centered, not relegated to a sidebar in a behavior-science tool. Ari Ne\","sel_tool_disabilityvoices.js","sel_tool_disabilityvoices.js","Partial comparable through SEL prompts","No public dedicated comparable found","No public dedicated comparable found","Partial discussion/writing comparable","Generic/partial comparable","Partial/strong on safety-monitored AI spaces","Generic tutoring comparable","MagicSchool (Partial comparable through SEL prompts); Curipod (Partial discussion/writing comparable); Eduaide (Generic/partial comparable); SchoolAI (Partial/strong on safety-monitored AI spaces); Khanmigo (Generic tutoring comparable)","AlloFlow ahead on structured SEL/clinical breadth; SchoolAI stronger on public safety/research proof","AlloFlow has a larger dedicated SEL toolkit; SchoolAI currently has stronger public trust/evidence signals around student AI safety."
